,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
4783,rbauction_10411843,-0.21970666902392466,-0.04602290626022467,0,-0.6666666666666666,0,bkt,1,,,,60.69533910708806,14000.007,13597.912
4281,rbauction_11190328,-0.27586912621808235,-1.1551880009413584,0,0.0,0,bkt,1,,,,47.06476405802533,13000.003,11407.526
3228,PW_DC7526,-0.9141142679734626,0.7006478932179558,0,3.0,0,"72""W bucket",1,Four cylinder diesel engine,Samson 12-16.5 tires,Hydrostatic transmission,30.284387019950767,5599.9995,7681.853
2802,PW_J4569,-0.24726775590351655,-0.3224043001760409,0,0.0,0,Case 6'W bucket,1,Four cylinder turbo diesel engine,Solid tires,Hydrostatic transmission,52.091807622513784,13499.996,13412.45
681,rbauction_11118599,-0.8011681962924699,1.0038728822498333,0,0.3333333333333333,0,bkt,1,,solid tires,,19.076687594333226,6499.9985,5804.6587
2320,PW_B3096,-0.7028923294870761,0.2226333127355408,0,0.6666666666666666,0,"0.39 cu. meter bucket capacity, 6' bucket with bolt-on edge",1,Cummins four cylinder diesel engine,12-16.5 tires,,32.337354467583324,7399.9976,7025.5
1709,rbauction_10344428,0.24942994385630435,-0.4929209305759422,0,-0.6666666666666666,0,,0,,,,27.392374343724235,25999.994,24436.594
2306,PW_A5032,-0.7782013973864785,0.34824712172814337,0,0.6666666666666666,0,"68"" bucket",1,"46 HP, Kubota four cylinder diesel engine",10-16.5 tires,,51.01152282379076,6699.9956,6885.687
5085,rbauction_10515205,-0.7450057390983122,0.949916115164142,0,1.3333333333333333,0,bkt,1,,,,54.954418777958224,6999.9995,6677.497
1261,rbauction_10847124,-0.402470456767821,0.9962324809283996,0,-0.6666666666666666,0,,0,,,,24.67165677530864,11000.002,9965.395
4668,rbauction_11001630,0.12282861330656658,-0.2348741349038788,0,-0.6666666666666666,0,bkt,1,,,,32.04802490145646,21999.992,19881.727
3429,PW_DY9824,-0.1931128399187525,0.42756501871626856,0,-0.3333333333333333,0,"74""W low profile bucket, Hand bucket controls",1,"82 HP, Case four cylinder diesel engine",14-17.5 tires,Two speed hydrostatic transmission,46.118745103033724,14499.993,13571.962
4355,rbauction_10340691,-0.5135733665429933,0.6286819644960752,0,0.6666666666666666,0,bkt,1,,,,32.46416832175207,9500.0,7989.5938
5196,rbauction_10219570,-0.1931128399187525,0.4391177415792271,0,-1.0,0,grapple bkt,1,,,,38.16312513129752,14499.993,17297.049
1950,rbauction_10535320,-1.0,1.0571778987320568,0,0.6666666666666666,0,bkt,1,,aperture tires,,33.037398128579675,4999.998,4966.6694
5420,ironplanet_1395780,-0.27586912621808235,-6.7328242930088305,0,-0.3333333333333333,0,"60"" Wide General Purpose Bucket w/ Teeth",1,,Solid Tires,,46.1489263760635,13000.003,13614.925
4530,rbauction_11017747,-0.3055924010504629,-0.6316744467949693,0,-0.3333333333333333,0,bkt,1,,,,10.570101588463064,12500.001,14199.373
22,rbauction_10934597,-0.3055924010504629,-0.0074358005597078515,0,-0.3333333333333333,0,bkt,1,,,,24.64538817450942,12500.001,9361.186
735,rbauction_10430308,-0.02924894348634055,-0.157740441295975,0,-0.3333333333333333,0,bkt,1,,solid tires,,23.525813417764866,18000.002,15585.46
536,rbauction_10866449,-0.7450057390983122,1.1404907896162109,0,0.0,0,bkt,1,,aperture tires,,33.88261253720528,6999.9995,6128.159
4043,rbauction_10402372,-0.402470456767821,0.25059626945747715,0,1.0,0,bkt,1,,,,20.746916140305625,11000.002,11636.735
2777,PW_J8737,-0.4747009299256124,-0.2750137752614494,0,0.0,0,"68""W bucket",1,Yanmar 54D84E-1ID turbo diesel engine,10-16.5 tires,Two speed hydrostatic transmission,45.59898649888429,10000.001,8997.045
