,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
1279,rbauction_10199379,CASE,95XT,12000,7587.0,12.0,29.589212412171587,hyd Q/C bkt,,,,Sep
1280,rbauction_10327004,DEERE,260,9500,2471.0,18.0,38.04010746646044,4-in-1 bkt,,,,Dec
1281,rbauction_10519095,NEW HOLLAND,L185,11000,3553.0,12.0,33.40589258728471,bkt,,,,Mar
1282,rbauction_10497416,BOBCAT,743B,5500,,27.0,26.514211008846377,bkt,,,,Mar
1283,rbauction_10299889,BOBCAT,S160,10000,5053.0,9.0,24.164642527265233,,,,,Dec
1284,rbauction_10615550,BOBCAT,S650 2 SPD,26000,645.0,3.0,26.38216984339084,,,,,May
1285,rbauction_10599682,BOBCAT,773,8000,3876.0,21.0,15.659667806444713,bkt,,,,May
1286,rbauction_10461861,VOLVO,MC80,8000,,12.0,38.10805610739342,bkt,,solid tires,,Mar
1287,rbauction_10297976,BOBCAT,853,7500,2798.0,21.0,20.9344411743693,bkt,,,,Nov
1288,rbauction_10446285,BOBCAT,S300,13500,4167.0,12.0,30.38644785017464,bkt,,,,Feb
1289,rbauction_11046353,DEERE,320D,17500,1428.0,6.0,48.94913118012786,bkt,,,,Feb
1290,rbauction_10456107,DEERE,328D,21000,1060.0,6.0,39.96307672857654,bkt,,,,Feb
1291,rbauction_10805774,DEERE,324E 2 SPD,28000,2110.0,0.0,35.09529407211326,bkt,,,,Sep
1292,rbauction_10394043,BOBCAT,773,12500,1982.0,15.0,25.644407336078853,bkt,,,,Dec
1293,rbauction_10187392,BOBCAT,S300,12000,5324.0,9.0,32.94725939704798,bkt,,segmented tires,,Sep
1294,rbauction_10136234,BOBCAT,753C,6500,3409.0,21.0,24.326176822104355,bkt,,,,Sep
1295,rbauction_11251522,BOBCAT,S250,10500,4412.0,12.0,33.10526417414254,bkt,,,,May
1296,ironplanet_1590928,CATERPILLAR,226B3,13000,1.0,,42.154546064373434,,,,,Sep
1297,rbauction_10744475,BOBCAT,S570,16500,1291.0,3.0,33.664321921487755,bkt,,aperture tires,,Aug
