,unique_id,make,model,hours_final_nan,winning_bid,age_at_sale_nan,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold,engine_sentiment,bucket_sentiment,tires_sentiment,transmission_sentiment
3417,PW_FJ9682,BOBCAT,S185,0,-0.157374989885476,0,-0.0002013498093976705,-0.4860655598507791,-0.9031637140110178,"Bobcat 72""W grapple bucket, Foot bucket controls",Kubota Tier 4 four cylinder diesel engine,"31 x 12-16.5 tires, Bobcat wheels and tires will be installed, Solid tires not included",Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3418,PW_DE3546,CASE,1840,0,-0.8320490313892,0,0.5718449938302866,1.490894906826718,0.16968198122261524,"60""W bucket, Hand bucket controls",Case 3.9L four cylinder diesel engine,10 x 16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3419,PW_DE3545,CASE,70XT,0,0.016740370377647258,0,0.5139461081802005,0.9966547901573437,0.38698315392918875,"73""W bucket, Hand bucket controls","79 HP, Case 3.9L four cylinder diesel engine",12 x 16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3420,PW_DE5367,CATERPILLAR,232B2,0,-1.208963669210917,0,0.22175957364703117,0.008174556818595184,0.34735829156182646,Hand bucket controls,Caterpillar four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3421,PW_DG3475,DEERE,325,0,1.2100253190377566,0,-0.28872818557268715,0.008174556818595184,0.23927594839375257,"Hand bucket controls, John Deere Worksite Pro C78 bucket","76 HP, John Deere 5030T 3.0L five cylinder diesel engine","additional tires, 12x16.5 NHS tires",Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3422,PW_DE5373,DEERE,250,0,-0.7591277650934096,0,0.08912612206657138,1.490894906826718,-0.6101522403739932,"72""W bucket, Foot bucket controls",2.9L three cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3423,PW_DE7690,BOBCAT,S250,0,0.25427948685170004,0,0.25759615977867617,0.9966547901573437,-0.4247256687319459,"74""W bucket, Foot bucket controls",Deutz BF4M1011F four cylinder diesel engine,12-16.5 tires,Two speed hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3424,PW_FE9620,NEW HOLLAND,L160,0,-0.9856620651525261,0,0.4941951841138347,0.5024146734879694,0.02939485082076039,"72""W bucket, Foot bucket controls",Shibaura four cylinder diesel engine,12-16.5 NHS tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3425,PW_DG5798,BOBCAT,S530,0,0.898740810196856,0,-0.5240546519683641,-0.9803056765201533,-0.31106052856422584,"Bobcat 68""W bucket, Foot bucket controls","49 HP, Kubota V2203 four cylinder diesel engine",10-16.5 tires,Two speed hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3426,PW_DD7074,CATERPILLAR,236B,0,0.1779460147761687,0,0.1748841473636348,0.5024146734879694,1.1914065357985402,"73""W toothed bucket, Hand bucket controls",Caterpillar four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
